0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0.99999994,0.76601374,0.87116176,0.7567231,0.6265817,0.70294845,0.75290203,0.7418772,0.7774651,0.8204085,0.70183736,0.8212495,0.6035436,0.71338594,0.80955833,0.69768184,0.7812964,0.66491455,0.76589715,0.7672825,0.7959567,0.6881124,0.6626046,0.8412855,0.68865734,0.6634807,0.76771075,0.6567571,0.805681,0.69756645,0.8058276,0.64480036,0.5326134,0.66156614,0.65582794,0.61773986,0.6952142,0.7645639
0.76601374,1.0,0.6883461,0.80732363,0.28996474,0.47334728,0.7729359,0.5743134,0.6951728,0.70486987,0.3477283,0.4561997,0.32235566,0.57704943,0.45921475,0.44521102,0.46153224,0.5560591,0.5928888,0.7953882,0.47279587,0.42596176,0.3346061,0.6875398,0.41299206,0.47099245,0.38336354,0.34627694,0.65032864,0.5926482,0.6547182,0.37824076,0.2672843,0.560523,0.3400912,0.84412044,0.5802118,0.532037
0.87116176,0.6883461,0.9999996,0.7000723,0.5045833,0.7364489,0.7037536,0.7072846,0.6461865,0.6374561,0.57684666,0.783731,0.5772321,0.54484886,0.70079744,0.48545974,0.63620985,0.5206483,0.6531275,0.65040755,0.64256364,0.7563437,0.7304055,0.6971165,0.5630155,0.57442695,0.6454772,0.57762337,0.6173535,0.54186267,0.63377726,0.51197684,0.6324756,0.49033338,0.42302814,0.67265946,0.5574716,0.6867477
0.7567231,0.80732363,0.7000723,0.9999999,0.3226458,0.50023425,0.6779869,0.6177089,0.6667718,0.6513537,0.38941023,0.53595096,0.35801935,0.52570945,0.4716968,0.52899307,0.5231837,0.57248837,0.60524386,0.71869653,0.49411392,0.48506895,0.4116945,0.6513483,0.4601632,0.535254,0.45776275,0.43047962,0.6104569,0.6279191,0.61416006,0.43610895,0.3261537,0.440091,0.37584904,0.63606054,0.58052784,0.58818084
0.6265817,0.28996474,0.5045833,0.3226458,1.0000001,0.4417195,0.28473982,0.39516568,0.39789578,0.44676396,0.70632476,0.77897805,0.5813623,0.2979158,0.78476536,0.48440954,0.5763135,0.28056347,0.40637454,0.35277072,0.7955752,0.4137046,0.5895535,0.4027707,0.38234615,0.32444674,0.54775655,0.40931475,0.48579547,0.3691195,0.45422205,0.46840698,0.36107635,0.27369115,0.5093027,0.29501364,0.39271525,0.46054015
0.70294845,0.47334728,0.7364489,0.50023425,0.4417195,0.99999994,0.48764777,0.59719443,0.73031706,0.42685118,0.45669168,0.5578366,0.5374468,0.39840615,0.4638029,0.4476747,0.49553686,0.46679738,0.5325783,0.42414543,0.45796877,0.7616604,0.64104617,0.5237433,0.58799464,0.61341065,0.551273,0.6139588,0.46770313,0.33933777,0.4485116,0.60286534,0.6232374,0.34306014,0.38493872,0.43317676,0.3934336,0.5427629
0.75290203,0.7729359,0.7037536,0.6779869,0.28473982,0.48764777,1.0000002,0.7152928,0.69234186,0.6299666,0.2781664,0.48824513,0.26570746,0.6242549,0.4841649,0.376839,0.47861344,0.5210534,0.53475344,0.6760423,0.46039027,0.44468296,0.3073702,0.6953232,0.44222134,0.46365193,0.4575564,0.37259382,0.5771104,0.7201455,0.6174628,0.3593163,0.24388741,0.56792414,0.33327568,0.5781419,0.59154356,0.5574376
0.7418772,0.5743134,0.7072846,0.6177089,0.39516568,0.59719443,0.7152928,1.0000005,0.6458668,0.56412417,0.35416692,0.55446804,0.3652311,0.52714,0.558158,0.43392798,0.5275773,0.506666,0.6455501,0.59345686,0.51158166,0.5818708,0.46537495,0.6016794,0.5486198,0.50389475,0.5115707,0.54920477,0.5444412,0.5710014,0.5243267,0.48945248,0.41009498,0.4702236,0.3837593,0.41875437,0.5265823,0.63648087
0.7774651,0.6951728,0.6461865,0.6667718,0.39789578,0.73031706,0.69234186,0.6458668,1.0000002,0.6683915,0.3867057,0.5098786,0.35257667,0.6035192,0.51082057,0.4927335,0.5684452,0.56149286,0.5277529,0.6341299,0.5066767,0.5158348,0.39371446,0.66804844,0.5279353,0.5499083,0.5065895,0.43508983,0.5992114,0.628199,0.62148875,0.49707025,0.35120302,0.53841525,0.46218303,0.5273893,0.63693345,0.5270792
0.8204085,0.70486987,0.6374561,0.6513537,0.44676396,0.42685118,0.6299666,0.56412417,0.6683915,0.99999917,0.5213305,0.6159507,0.3408676,0.70630026,0.7181027,0.51813906,0.64453495,0.526172,0.6229896,0.74570006,0.653049,0.40241835,0.3918796,0.711836,0.47868732,0.44239232,0.5472838,0.4003703,0.6939554,0.70887554,0.69036007,0.41215655,0.29463783,0.6328006,0.51727295,0.51992166,0.754337,0.5444391
